timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
124.368,309.133841,290.264254,294.113996,294.243289,306.170059,288.604297,292.325280,293.047960
124.760,309.137914,290.264127,294.116926,294.188311,306.161432,288.600354,292.326818,293.073044
125.101,309.133517,290.263069,294.115676,294.298713,306.158373,288.602955,292.324468,293.061766
125.454,309.134165,290.263831,294.111927,294.251958,306.158054,288.602367,292.325878,293.041786
125.802,309.133841,290.264423,294.114297,294.229015,306.175308,288.603542,292.322460,293.034926
126.147,309.133239,290.262181,294.112832,294.206635,306.159286,288.603836,292.324468,293.069913
126.507,309.135738,290.262181,294.113996,294.290043,306.160199,288.602535,292.325964,293.053148
126.858,309.136988,290.265861,294.115676,294.247602,306.158647,288.601235,292.326434,293.030810
127.199,309.139163,290.262181,294.113996,294.228713,306.159880,288.600941,292.324212,293.109796
127.576,309.135738,290.261927,294.115159,294.209568,306.162710,288.601822,292.327032,293.070428
127.913,309.131989,290.266157,294.116625,294.285384,306.157415,288.605136,292.327929,293.050790
128.266,309.136386,290.262773,294.116064,294.244367,306.163577,288.604591,292.327117,293.025323
128.614,309.132915,290.263958,294.114858,294.228411,306.162071,288.606017,292.326434,293.099932
129.001,309.134211,290.264719,294.115159,294.213621,306.157415,288.603123,292.326134,293.064939
129.348,309.135137,290.263831,294.113694,294.275808,306.162984,288.603123,292.327929,293.040114
129.702,309.134813,290.264423,294.114599,294.227290,306.167274,288.607443,292.328484,293.004960
130.046,309.133239,290.263069,294.115978,294.228799,306.165768,288.606311,292.327929,293.094743
130.391,309.136664,290.267045,294.116366,294.214699,306.167913,288.608912,292.328484,293.071586
130.751,309.140135,290.266453,294.117228,294.266147,306.168826,288.606604,292.331902,293.035226
131.092,309.137914,290.264254,294.115159,294.248205,306.169146,288.604591,292.326818,293.018464
131.445,309.137914,290.267595,294.117745,294.229877,306.166955,288.608199,292.329681,293.088953
131.826,309.141986,290.264719,294.114599,294.221210,306.167274,288.604297,292.329681,293.062367
132.170,309.137590,290.264254,294.114858,294.259548,306.166955,288.604003,292.327331,293.024551
132.525,309.136664,290.264423,294.113996,294.245575,306.173117,288.603836,292.325066,293.024251
