timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
302.650,339.427658,347.374606,348.825282,351.196349,398.611065,349.668985,350.809599,355.937660
303.069,339.427341,343.264383,344.138395,351.203909,398.615269,349.677050,350.813928,355.963277
303.489,339.427341,343.268202,344.142174,351.209968,397.086535,349.677768,350.813095,355.985609
303.912,339.425647,347.379969,348.834861,351.207745,398.617071,349.680917,350.819256,356.015709
304.329,339.427658,347.378109,344.147788,351.215583,398.628817,349.681690,350.820644,356.042412
304.749,339.425647,343.270623,344.149840,351.217084,399.514102,349.693678,350.827082,356.073029
305.169,339.425647,347.386152,348.840531,351.213804,398.622344,349.693291,350.834186,356.108074
305.592,339.426018,347.392117,348.846752,351.230149,397.077243,349.701744,350.842013,356.153787
306.009,339.427341,347.400162,348.858533,351.240545,398.517381,349.708484,350.851671,356.185837
306.430,339.427341,347.401201,348.859800,351.249441,397.239358,349.716385,350.855501,356.215962
306.850,339.427341,343.308871,344.182938,351.251999,397.162471,349.714507,350.854114,356.234912
307.273,339.427341,347.419809,348.870756,351.255112,399.561578,349.726938,350.867991,356.270150
307.690,339.427341,343.317479,348.875381,351.263675,398.654448,349.726938,350.870045,356.297278
308.110,339.425965,343.316080,344.196167,351.268346,399.572963,349.735061,350.874042,356.327359
308.530,339.425965,347.424077,348.853578,351.263675,399.547984,349.733679,350.875985,356.353982
308.950,339.427341,343.326034,348.879235,351.271126,399.570552,349.741415,350.877151,356.384979
309.370,339.427341,347.429934,344.203404,351.279745,396.932868,349.746609,350.882037,356.412800
309.791,339.427341,347.428565,348.883475,351.279411,397.020506,349.741415,350.882203,356.436933
310.210,339.427023,343.336741,348.888816,351.283582,396.922387,349.751251,350.888477,356.471348
310.632,339.427341,347.428565,348.886393,351.292479,396.959733,349.751251,350.891030,356.497929
311.051,339.425965,347.434531,348.858093,351.286529,397.257487,349.753848,350.893806,356.533602
311.471,339.425965,343.343951,348.893056,351.296094,397.161409,349.759374,350.898859,356.565133
311.891,339.427341,347.439019,348.892946,351.294704,397.203501,349.760092,350.900913,356.582178
312.311,339.427341,347.439785,348.896525,351.296427,398.685821,349.762966,350.900913,356.612692
312.732,339.427341,347.442905,344.229002,351.304269,398.681215,349.764734,350.903689,356.640539
313.151,339.427711,343.351215,344.227543,351.305659,399.604441,349.776119,350.912017,356.666627
313.572,339.426335,343.359448,348.907538,351.321287,399.599418,349.782695,350.912683,356.691637
313.992,339.425965,347.444712,348.899663,351.315948,398.697904,349.772858,350.910462,356.719550
314.412,339.425965,347.443726,348.904289,351.318840,396.979105,349.778882,350.917736,356.742235
314.832,339.426018,343.364991,348.908584,351.323734,398.704914,349.785624,350.922955,356.767423
315.252,339.427023,343.371233,348.912053,351.322010,397.205095,349.785956,350.920845,356.802055
315.672,339.426335,347.449200,348.909135,351.323734,398.722806,349.789880,350.925732,356.837203
316.094,339.427023,343.375269,348.911668,351.323734,396.985606,349.790267,350.927286,356.869740
316.516,339.427341,347.449911,348.912053,351.329963,397.183384,349.798336,350.933339,356.898526
316.936,339.427341,347.448543,348.905335,351.330185,397.202306,349.796512,350.930063,356.921739
317.354,339.427341,347.451991,348.911007,351.333801,398.724342,349.796125,350.934727,356.951100
317.773,339.427341,343.379090,344.264865,351.342811,396.992307,349.799773,350.935782,356.971700
318.192,339.427341,347.452101,348.913430,351.338139,397.258284,349.799773,350.939058,356.995888
318.613,339.426335,347.450732,348.911338,351.341587,398.737094,349.804250,350.937837,357.023379
319.033,339.426335,343.391845,344.267350,351.348373,398.725143,349.803697,350.939947,357.042448
319.453,339.427341,347.449200,348.912714,351.343479,397.330216,349.807511,350.941113,357.072621
319.873,339.427341,347.446463,348.912714,351.345092,397.231987,349.808561,350.943556,357.093801
320.293,339.427341,347.454509,348.917340,351.348373,397.011084,349.813204,350.947388,357.125801
320.714,339.427341,343.402824,344.277667,351.362947,397.001795,349.817515,350.955329,356.855519
321.133,339.427341,347.488175,348.939534,351.358274,397.248987,349.818565,350.957772,356.867976
321.554,339.427023,343.401155,348.937000,351.355827,398.732888,349.816354,350.951497,356.885725
321.974,339.426335,347.480785,348.940911,351.361222,399.621588,349.831279,350.960604,356.915878
322.394,339.426018,343.407668,344.283231,351.363670,398.748445,349.828404,350.962326,356.945409
322.814,339.426018,343.414234,348.948346,351.368009,397.215785,349.823872,350.959883,356.975058
323.234,339.427341,343.413911,344.288741,351.365394,399.611608,349.831997,350.965603,357.000839
